NAICS codecaption,caption,trir,dart
332216,Saw blade and handtool manufacturing,3.3,1.7
3323,Architectural and structural metals manufacturing,4.7,2.4
33231,Plate work and fabricated structural product manufacturing,5.1,2.4
332311,Prefabricated metal building and component manufacturing,4.8,2.1
332312,Fabricated structural metal manufacturing,5,2.4
332313,Plate work manufacturing,5.5,2.5
33232,Ornamental and architectural metal products manufacturing,4.3,2.4
332321,Metal window and door manufacturing,4,2.6
332322,Sheet metal work manufacturing,4.4,2.2
332323,Ornamental and architectural metal work manufacturing,4.6,2.5
3324,"Boiler, tank, and shipping container manufacturing",3.6,1.8
33241,Power boiler and heat exchanger manufacturing,2.9,1.4
33242,Metal tank (heavy gauge) manufacturing,4.1,1.9
33243,"Metal can, box, and other metal container (light gauge) manufacturing",3.3,1.8
332431,Metal can manufacturing,2.2,1.1
3325,Hardware manufacturing,4.1,2.4
3326,Spring and wire product manufacturing,3.9,2.4
33261,Spring and wire product manufacturing,3.9,2.4
332613,Spring manufacturing,4.3,2.5
332618,Other fabricated wire product manufacturing,3.7,2.3
3327,"Machine shops; turned product; and screw, nut, and bolt manufacturing",3.9,1.9
33271,Machine shops,3.6,1.8
33272,"Turned product and screw, nut, and bolt manufacturing",4.8,2.1
332721,Precision turned product manufacturing,4.1,2
332722,"Bolt, nut, screw, rivet, and washer manufacturing",5.4,2.3
3328,"Coating, engraving, heat treating, and allied activities",4.6,2.7
33281,"Coating, engraving, heat treating, and allied activities",4.6,2.7
332811,Metal heat treating,4.9,3
332812,"Metal coating, engraving (except jewelry and silverware), and allied services to manufacturers",4.7,2.9
332813,"Electroplating, plating, polishing, anodizing, and coloring",4.5,2.5
3329,Other fabricated metal product manufacturing,3.4,1.9
33291,Metal valve manufacturing,2.9,1.8
332911,Industrial valve manufacturing,2.7,1.5
332912,Fluid power valve and hose fitting manufacturing,2,1.3
332913,Plumbing fixture fitting and trim manufacturing,2.1,1.3
332919,Other metal valve and pipe fitting manufacturing,5.6,3.7
33299,All other fabricated metal product manufacturing,3.6,1.9
332991,Ball and roller bearing manufacturing,2.5,1.2
332992,Small arms ammunition manufacturing,2.3,1.4
332993,Ammunition (except small arms) manufacturing,1,0.5
332994,"Small arms, ordnance, and ordnance accessories manufacturing",2.9,1.7
332996,Fabricated pipe and pipe fitting manufacturing,3,1.8
332999,All other miscellaneous fabricated metal product manufacturing,5.1,2.5
333,Machinery manufacturing,3.2,1.7
3331,"Agriculture, construction, and mining machinery manufacturing",3.7,1.9
33311,Agricultural implement manufacturing,5.4,2.8
333111,Farm machinery and equipment manufacturing,5.9,3
333112,Lawn and garden tractor and home lawn and garden equipment manufacturing,3.8,2.3
33312,Construction machinery manufacturing,4.3,2.4
33313,Mining and oil and gas field machinery manufacturing,1.3,0.6
333131,Mining machinery and equipment manufacturing,3,1.3
333132,Oil and gas field machinery and equipment manufacturing,1,0.5
3332,Industrial machinery manufacturing,2.7,1.4
33324,Industrial machinery manufacturing,2.7,1.4
333241,Food product machinery manufacturing,3.4,1.4
