NAICS code,Industry,TRIR,DART
335314,Relay and industrial control manufacturing,1.8,1
3359,Other electrical equipment and component manufacturing,2.6,1.6
33591,Battery manufacturing,3.5,2.3
33592,Communication and energy wire and cable manufacturing,2.4,1.6
335929,Other communication and energy wire manufacturing,3,2
33593,Wiring device manufacturing,2.7,1.5
335931,Current-carrying wiring device manufacturing,2.3,1.3
335932,Noncurrent-carrying wiring device manufacturing,4.2,2.1
33599,All other electrical equipment and component manufacturing,1.8,0.9
335991,Carbon and graphite product manufacturing,2.1,1.4
335999,All other miscellaneous electrical equipment and component manufacturing,1.7,0.8
336,Transportation equipment manufacturing,3.7,2.2
3361,Motor vehicle manufacturing,6.2,4.1
33611,Automobile and light duty motor vehicle manufacturing,6.4,4.2
336111,Automobile manufacturing,5.9,4.2
336112,Light truck and utility vehicle manufacturing,7.4,4.3
33612,Heavy duty truck manufacturing,4.9,3.4
3362,Motor vehicle body and trailer manufacturing,6.3,3.3
33621,Motor vehicle body and trailer manufacturing,6.3,3.3
336211,Motor vehicle body manufacturing,5,2.8
