NAICS code,caption,trir,dart
33272,"Turned product and screw, nut, and bolt manufacturing",3.8,1.7
332721,Precision turned product manufacturing,4.1,1.5
3328,"Coating, engraving, heat treating, and allied activities",4.5,2.5
33281,"Coating, engraving, heat treating, and allied activities",4.5,2.5
332811,Metal heat treating,5.3,2.4
332812,"Metal coating, engraving (except jewelry and silverware), and allied services to manufacturers",4.4,2.5
332813,"Electroplating, plating, polishing, anodizing, and coloring",4.5,2.6
3329,Other fabricated metal product manufacturing,3.7,1.8
33291,Metal valve manufacturing,2.7,1.5
332911,Industrial valve manufacturing,2.1,1.3
332912,Fluid power valve and hose fitting manufacturing,2.1,1.2
332913,Plumbing fixture fitting and trim manufacturing,2.8,1.8
332919,Other metal valve and pipe fitting manufacturing,5.4,2.7
33299,All other fabricated metal product manufacturing,4.1,1.9
332991,Ball and roller bearing manufacturing,2.8,1.3
332992,Small arms ammunition manufacturing,2.7,1.4
332993,Ammunition (except small arms) manufacturing,1.2,0.4
332994,"Small arms, ordnance, and ordnance accessories manufacturing",2.5,1.5
332996,Fabricated pipe and pipe fitting manufacturing,3.1,1.9
332999,All other miscellaneous fabricated metal product manufacturing,6.0,2.6
333,Machinery manufacturing,3.2,1.6
3331,"Agriculture, construction, and mining machinery manufacturing",3.5,2.0
33311,Agricultural implement manufacturing,4.8,2.9
333111,Farm machinery and equipment manufacturing,4.9,3.0
333112,Lawn and garden tractor and home lawn and garden equipment manufacturing,4.4,2.9
33312,Construction machinery manufacturing,4.0,2.2
33313,Mining and oil and gas field machinery manufacturing,1.4,0.7
333131,Mining machinery and equipment manufacturing,3.4,1.2
333132,Oil and gas field machinery and equipment manufacturing,1.1,0.6
3332,Industrial machinery manufacturing,2.5,1.2
33324,Industrial machinery manufacturing,2.5,1.2
333241,Food product machinery manufacturing,4.2,1.7
333242,Semiconductor machinery manufacturing,0.6,0.4
333243,"Sawmill, woodworking, and paper machinery manufacturing",3.6,1.7
333244,Printing machinery and equipment manufacturing,2.2,1.1
333249,Other industrial machinery manufacturing,2.4,1.2
3333,Commercial and service industry machinery manufacturing,3.2,1.5
33331,Commercial and service industry machinery manufacturing,3.2,1.5
333314,Optical instrument and lens manufacturing,2.4,0.9
333316,Photographic and photocopying equipment manufacturing,1.7,1.2
333318,Other commercial and service industry machinery manufacturing,3.6,1.7
3334,"Ventilation, heating, air-conditioning, and commercial refrigeration equipment manufacturing",3.1,1.7
33341,"Ventilation, heating, air-conditioning, and commercial refrigeration equipment manufacturing",3.1,1.7
333413,Industrial and commercial fan and blower and air purification equipment manufacturing,2.9,1.5
333414,Heating equipment (except warm air furnaces) manufacturing,3.5,1.9
333415,Air-conditioning and warm air heating equip and commercial and industrial refrigeration equip mfg,3.1,1.7
3335,Metalworking machinery manufacturing,3.6,1.6
33351,Metalworking machinery manufacturing,3.6,1.6
333511,Industrial mold manufacturing,3.0,1.4
333514,"Special die and tool, die set, jig, and fixture manufacturing",4.0,1.7
333515,Cutting tool and machine tool accessory manufacturing,2.2,1.0
333517,Machine tool manufacturing,4.1,1.9
333519,Rolling mill and other metalworking machinery manufacturing,4.8,1.5
3336,"Engine, turbine, and power transmission equipment manufacturing",2.6,1.3
33361,"Engine, turbine, and power transmission equipment manufacturing",2.6,1.3
333611,Turbine and turbine generator set units manufacturing,2.6,1.2
333612,"Speed changer, industrial high-speed drive, and gear manufacturing",3.7,1.8
333613,Mechanical power transmission equipment manufacturing,3.7,1.6
333618,Other engine equipment manufacturing,2.0,1.1
3339,Other general purpose machinery manufacturing,3.1,1.6
33391,Pump and compressor manufacturing,2.1,1.0
333911,Pump and pumping equipment manufacturing,2.5,1.2
333912,Air and gas compressor manufacturing,1.8,0.8
333913,Measuring and dispensing pump manufacturing,1.2,0.8
33392,Material handling equipment manufacturing,4.0,2.1
333921,Elevator and moving stairway manufacturing,4.4,2.7
333922,Conveyor and conveying equipment manufacturing,4.1,1.8
333923,"Overhead traveling crane, hoist, and monorail system manufacturing",4.2,2.0
333924,"Industrial truck, tractor, trailer, and stacker machinery manufacturing",3.8,2.3
33399,All other general purpose machinery manufacturing,2.8,1.5
333991,Power-driven handtool manufacturing,2.0,1.4
333992,Welding and soldering equipment manufacturing,3.0,1.3
333993,Packaging machinery manufacturing,2.4,0.9
333994,Industrial process furnace and oven manufacturing,4.1,2.7
333995,Fluid power cylinder and actuator manufacturing,4.1,2.5
333996,Fluid power pump and motor manufacturing,1.6,0.8
333997,Scale and balance manufacturing,2.9,1.7
333999,All other miscellaneous general purpose machinery manufacturing,2.9,1.4
334,Computer and electronic product manufacturing,1.1,0.6
3341,Computer and peripheral equipment manufacturing,0.6,0.3
33411,Computer and peripheral equipment manufacturing,0.6,0.3
334111,Electronic computer manufacturing,0.5,0.3
334112,Computer storage device manufacturing,0.6,0.3
334118,Computer terminal and other computer peripheral equipment manufacturing,0.9,0.5
3342,Communications equipment manufacturing,0.9,0.5
33421,Telephone apparatus manufacturing,1.0,0.4
33422,Radio and television broadcasting and wireless communications equipment manufacturing,0.9,0.4
33429,Other communications equipment manufacturing,1.1,0.7
3343,Audio and video equipment manufacturing,1.6,0.6
3344,Semiconductor and other electronic component manufacturing,1.2,0.6
33441,Semiconductor and other electronic component manufacturing,1.2,0.6
334412,Bare printed circuit board manufacturing,1.4,0.9
334413,Semiconductor and related device manufacturing,1.0,0.5
334416,"Capacitor, resistor, coil, transformer, and other inductor manufacturing",2.7,1.1
334417,Electronic connector manufacturing,1.7,1.0
334418,Printed circuit assembly (electronic assembly) manufacturing,1.1,0.6
334419,Other electronic component manufacturing,1.6,0.7
3345,"Navigational, measuring, electromedical, and control instruments manufacturing",1.2,0.7
33451,"Navigational, measuring, electromedical, and control instruments manufacturing",1.2,0.7
334510,Electromedical and electrotherapeutic apparatus manufacturing,1.1,0.7
334511,"Search, detection, navigation, guidance, aeronautical, and nautical system and instrument mfg",0.9,0.6
334512,"Automatic environmental control manufacturing for residential, commercial, and appliance use",2.1,0.7
334513,"Instr. and rel. prod. mfg. for measuring, displaying, and controlling industrial process variables",1.5,0.9
334514,Totalizing fluid meter and counting device manufacturing,2.2,1.1
334515,Instrument manufacturing for measuring and testing electricity and electrical signals,0.9,0.5
334516,Analytical laboratory instrument manufacturing,1.2,0.7
334517,Irradiation apparatus manufacturing,0.7,0.4
334519,Other measuring and controlling device manufacturing,1.8,1.2
3346,Manufacturing and reproducing magnetic and optical media,1.2,0.9
33461,Manufacturing and reproducing magnetic and optical media,1.2,0.9
335,"Electrical equipment, appliance, and component manufacturing",2.5,1.4
3351,Electric lighting equipment manufacturing,3.2,1.7
33511,Electric lamp bulb and part manufacturing,1.5,1.2
33512,Lighting fixture manufacturing,3.4,1.8
335121,Residential electric lighting fixture manufacturing,3.8,2.4
335122,"Commercial, industrial, and institutional electric lighting fixture manufacturing",2.8,1.4
335129,Other lighting equipment manufacturing,4.9,2.1
3352,Household appliance manufacturing,2.8,1.6
33521,Small electrical appliance manufacturing,2.8,1.6
33522,Major appliance manufacturing,2.8,1.6
335221,Household cooking appliance manufacturing,2.9,1.3
335222,Household refrigerator and home freezer manufacturing,3.4,2.1
3353,Electrical equipment manufacturing,2.1,1.2
33531,Electrical equipment manufacturing,2.1,1.2
335311,"Power, distribution, and specialty transformer manufacturing",3.8,2.5
